path	workflow	required	git_policy	source_or_generation	notes
resources/adapters/TruSeq3-PE.fa	pipelines	yes	tracked	local adapter reference	Adapter FASTA used by preprocessing.
resources/annotations/README.md	pipelines	yes	tracked	local documentation	Annotation helper table notes.
resources/annotations/manual_population_freq.tsv	pipelines	yes	tracked	manual curation	Manual population-frequency lookups used by variant QC.
resources/intervals/capture_targets.interval_list	pipelines	yes	tracked	local interval definition	Mutect2 interval input.
resources/intervals/targets.bed	pipelines	yes	tracked	local interval definition	Capture target BED used by sequencing QC.
resources/intervals/prnp_coding.bed	pipelines	yes	tracked	local interval definition	PRNP coding region BED used by sequencing QC.
resources/references/snv/chr2_chr4_chr20.fasta	pipelines	yes	local_ignored	derived from hg38	Subset FASTA for chr2, chr4, and chr20.
resources/references/snv/chr2_chr4_chr20.dict	pipelines	yes	tracked	generated sidecar	Picard/GATK dictionary for the subset FASTA.
resources/references/snv/chr2_chr4_chr20.fasta.fai	pipelines	yes	tracked	generated sidecar	FASTA index for the subset FASTA.
resources/references/snv/chr2_chr4_chr20.fasta.{amb,ann,bwt,pac,sa}	pipelines	yes	generated_ignored	bwa index	Runtime BWA index sidecars for the subset FASTA.
resources/known_sites/dbsnp_146.hg38.vcf.gz	pipelines	yes	local_ignored	public reference	dbSNP known-sites/resource VCF.
resources/known_sites/dbsnp_146.hg38.vcf.gz.tbi	pipelines	yes	local_ignored	public reference index	Index for dbSNP VCF.
resources/known_sites/Mills_and_1000G_gold_standard.indels.hg38.vcf.gz	pipelines	yes	local_ignored	public reference	Mills/1000G indels resource.
resources/known_sites/Mills_and_1000G_gold_standard.indels.hg38.vcf.gz.tbi	pipelines	yes	local_ignored	public reference index	Index for Mills/1000G VCF.
resources/population/somatic-hg38_af-only-gnomad.hg38.vcf.gz	pipelines	yes	local_ignored	public reference	Mutect2 germline resource and bcftools annotation input.
resources/population/somatic-hg38_af-only-gnomad.hg38.vcf.gz.tbi	pipelines	yes	local_ignored	public reference index	Index for gnomAD AF-only resource.
resources/population/somatic-hg38_af-only-gnomad.hg38.vcf.idx	pipelines	optional	local_ignored	generated/public index	Legacy index sidecar if present locally.
resources/population/somatic-hg38_1000g_pon.hg38.vcf.gz	pipelines	optional	local_ignored	public reference	Optional provided PoN resource file.
resources/population/somatic-hg38_1000g_pon.hg38.vcf.gz.tbi	pipelines	optional	local_ignored	public reference index	Index for optional PoN VCF.
resources/funcotator/funcotator_dataSources.v1.8.hg38.20230908s/hg38	pipelines	yes	local_ignored	public datasource tree	Funcotator datasource root expected by scripts.
resources/references/hg38/hg38.fa	junctions	yes	local_ignored	public reference	Whole-genome hg38 FASTA for junction workflow.
resources/references/hg38/hg38.dict	junctions	optional	tracked	generated sidecar	Reference dictionary sidecar.
resources/references/hg38/hg38.fa.fai	junctions	optional	tracked	generated sidecar	Reference FASTA index sidecar.
resources/references/hg38/Homo_sapiens.GRCh38.110.gtf.gz	junctions	yes	local_ignored	public reference	Ensembl release 110 GTF.
resources/junctions/prnp_junctions.fa	junctions	yes	tracked	generated project reference	Junction FASTA generated by the junction workflow.
resources/junctions/PRNP.pad1kb.hg38.bed	junctions	yes	tracked	generated project reference	Padded PRNP BED generated by the junction workflow.
resources/junctions/prnp_junctions.fa.{amb,ann,bwt,pac,sa}	junctions	no	generated_ignored	bwa index	Runtime BWA sidecars generated by `src/junctions/03_process_bam.sh`.
resources/repeats/README.md	repeats	yes	tracked	local documentation	Repeat resource notes.
resources/repeats/prnp_orr.hg38.bed	repeats	yes	tracked	local interval definition	Canonical PRNP octapeptide repeat region BED.
resources/repeats/prnp_orr.expansionhunter.json	repeats	yes	tracked	local catalogue	ExpansionHunter variant catalogue for PRNP ORR.
resources/repeats/prnp_orr.gangstr.bed	repeats	optional	tracked	local interval definition	GangSTR target BED for the mutable PRNP ORR repeat block.
resources/repeats/prnp_orr_manual_panel.tsv	repeats	yes	tracked	manual curation	Manual PRNP ORR mosaic review allele panel.
resources/README.md	both	yes	tracked	local documentation	Reviewer-facing resource guide.
resources/INDEX.tsv	both	yes	tracked	local manifest	Canonical resource inventory.
resources/SHA256SUMS.txt	both	yes	tracked	local manifest	Checksum manifest used by `make verify_resources`.
